d,open_front,raw_open,date,truth_open,db_err
2024-08-01,9.046,10.25,2024-08-01,9.23,-0.18400000000000105
2024-08-02,9.016,10.22,2024-08-02,9.2,-0.18399999999999928
2024-08-05,8.905999999999999,10.11,2024-08-05,9.1,-0.19400000000000084
2024-08-06,8.866,10.07,2024-08-06,9.06,-0.19400000000000084
2024-08-07,8.745999999999999,9.95,2024-08-07,8.96,-0.2140000000000022
2024-08-08,8.716,9.92,2024-08-08,8.93,-0.2140000000000004
2024-08-09,8.756,9.96,2024-08-09,8.96,-0.20400000000000063
2024-08-12,8.815999999999999,10.02,2024-08-12,9.02,-0.20400000000000063
2024-08-13,8.815999999999999,10.02,2024-08-13,9.02,-0.20400000000000063
2024-08-14,8.735999999999999,9.94,2024-08-14,8.95,-0.2140000000000004
2024-08-15,8.716,9.92,2024-08-15,8.93,-0.2140000000000004
2024-08-16,8.876,10.08,2024-08-16,9.07,-0.19400000000000084
2024-08-19,8.926,10.13,2024-08-19,9.12,-0.19399999999999906
2024-08-20,9.116,10.32,2024-08-20,9.29,-0.1739999999999995
2024-08-21,9.096,10.3,2024-08-21,9.27,-0.1739999999999995
2024-08-22,9.136,10.34,2024-08-22,9.31,-0.17400000000000126
2024-08-23,9.186,10.39,2024-08-23,9.35,-0.1639999999999997
2024-08-26,9.296,10.5,2024-08-26,9.45,-0.15399999999999991
2024-08-27,9.266,10.47,2024-08-27,9.42,-0.15399999999999991
2024-08-28,9.206,10.41,2024-08-28,9.37,-0.1639999999999997
2024-08-29,9.106,10.31,2024-08-29,9.28,-0.1739999999999995
2024-08-30,8.905999999999999,10.11,2024-08-30,9.1,-0.19400000000000084
2024-09-02,8.915999999999999,10.12,2024-09-02,9.11,-0.19400000000000084
2024-09-03,8.905999999999999,10.11,2024-09-03,9.1,-0.19400000000000084
2024-09-04,8.846,10.05,2024-09-04,9.05,-0.20400000000000063
2024-09-05,8.825999999999999,10.03,2024-09-05,9.03,-0.20400000000000063
2024-09-06,8.856,10.06,2024-09-06,9.05,-0.19400000000000084
2024-09-09,8.846,10.05,2024-09-09,9.05,-0.20400000000000063
2024-09-10,8.655999999999999,9.86,2024-09-10,8.87,-0.2140000000000004
2024-09-11,8.676,9.88,2024-09-11,8.89,-0.2140000000000004
2024-09-12,8.446,9.65,2024-09-12,8.69,-0.24399999999999977
2024-09-13,8.526,9.73,2024-09-13,8.76,-0.23399999999999999
2024-09-18,8.516,9.72,2024-09-18,8.75,-0.23399999999999999
2024-09-19,8.585999999999999,9.79,2024-09-19,8.81,-0.22400000000000198
