全市场扫描：放量向上突破附近股票
终止日期: 2026-09-03, 周期: 日线
筛选: 向上突破 + 放量(量能>0%) + 突破日在2026-09-01~2026-09-02
==========================================================================================

510060.SH | 第2次尝试 | 观察日2026-08-26 | 突破日2026-09-01 | 观察量0% | 突破量100% | 放量 | 得分1 | 突破后涨跌+0.30% | 距今天数1
600138.SH | 第3次尝试 | 观察日2026-08-28 | 突破日2026-09-01 | 观察量50% | 突破量100% | 放量 | 得分1 | 突破后涨跌+0.82% | 距今天数1
600399.SH | 第1次尝试 | 观察日2026-08-28 | 突破日2026-09-01 | 观察量76% | 突破量46% | 放量 | 得分0 | 突破后涨跌+1.34% | 距今天数1
600405.SH | 第1次尝试 | 观察日2026-08-28 | 突破日2026-09-02 | 观察量6% | 突破量82% | 放量 | 得分3 | 突破后涨跌+0.19% | 距今天数0
600603.SH | 第3次尝试 | 观察日2026-08-26 | 突破日2026-09-01 | 观察量0% | 突破量100% | 放量 | 得分1 | 突破后涨跌+2.65% | 距今天数1
600640.SH | 第1次尝试 | 观察日2026-08-31 | 突破日2026-09-01 | 观察量100% | 突破量100% | 放量 | 得分7 | 突破后涨跌+0.78% | 距今天数1
600780.SH | 第1次尝试 | 观察日2026-08-31 | 突破日2026-09-01 | 观察量100% | 突破量100% | 放量 | 得分7 | 突破后涨跌+1.25% | 距今天数1
600825.SH | 第1次尝试 | 观察日2026-08-31 | 突破日2026-09-01 | 观察量77% | 突破量87% | 放量 | 得分7 | 突破后涨跌+0.38% | 距今天数1
600967.SH | 第1次尝试 | 观察日2026-09-01 | 突破日2026-09-02 | 观察量98% | 突破量100% | 放量 | 得分7 | 突破后涨跌+0.00% | 距今天数0
601136.SH | 第4次尝试 | 观察日2026-08-31 | 突破日2026-09-01 | 观察量100% | 突破量100% | 放量 | 得分7 | 突破后涨跌+2.50% | 距今天数1
601658.SH | 第2次尝试 | 观察日2026-08-31 | 突破日2026-09-01 | 观察量100% | 突破量100% | 放量 | 得分7 | 突破后涨跌+2.19% | 距今天数1
603080.SH | 第2次尝试 | 观察日2026-08-24 | 突破日2026-09-01 | 观察量100% | 突破量100% | 放量 | 得分4 | 突破后涨跌+3.21% | 距今天数1
603096.SH | 第2次尝试 | 观察日2026-08-31 | 突破日2026-09-01 | 观察量100% | 突破量100% | 放量 | 得分7 | 突破后涨跌+2.27% | 距今天数1
603207.SH | 第1次尝试 | 观察日2026-09-01 | 突破日2026-09-02 | 观察量95% | 突破量100% | 放量 | 得分7 | 突破后涨跌+0.00% | 距今天数0
603238.SH | 第3次尝试 | 观察日2026-08-28 | 突破日2026-09-01 | 观察量50% | 突破量50% | 放量 | 得分0 | 突破后涨跌+0.95% | 距今天数1
603359.SH | 第1次尝试 | 观察日2026-09-01 | 突破日2026-09-02 | 观察量79% | 突破量79% | 放量 | 得分4 | 突破后涨跌+3.24% | 距今天数0
