旧: 去包含K线=643 分型=296
新: 去包含K线=643 分型=296

 0 顶 01-09 27.850 | 顶 01-09 27.850 OK
 1 底 01-10 27.260 | 底 01-10 27.260 OK
 2 顶 01-13 29.410 | 顶 01-13 29.410 OK
 3 底 01-17 28.270 | 底 01-17 28.270 OK
 4 顶 01-18 29.070 | 顶 01-18 29.070 OK
 5 底 02-02 28.040 | 底 02-02 28.040 OK
 6 顶 02-03 28.450 | 顶 02-03 28.450 OK
 7 底 02-06 28.030 | 底 02-06 28.030 OK
 8 顶 02-07 28.320 | 顶 02-07 28.320 OK
 9 底 02-16 26.760 | 底 02-16 26.760 OK
10 顶 02-23 28.460 | 顶 02-23 28.460 OK
11 底 02-24 27.740 | 底 02-24 27.740 OK
12 顶 02-27 28.200 | 顶 02-27 28.200 OK
13 底 02-28 27.800 | 底 02-28 27.800 OK
14 顶 03-07 29.770 | 顶 03-07 29.770 OK
